Name,lat,lng
Obedient_Metal_Eel,27.7730058665938,-82.700449953204
Striped Teal Baboon ,27.8931025623365,-82.5085529429481
Huge Emerald Griffin ,27.9502969677665,-82.4467218318443
Wide Beige Hornet ,28.5479867971855,-81.3762774455856
Fast Burlap Aphid ,28.5144659875801,-81.5066048192247
Original Peanut Snail ,28.4626962256243,-81.5551103004948
Skinny Blue Sidewinder ,26.5827025756592,-81.9724935931815
High Beige Lobster ,26.6033196875132,-82.0119233133903
Short Carrot Lemur ,26.6174859189591,-81.8371578329576
Puny Tan Rhino ,25.7502401444795,-80.2455019798846
Polite Brown Cormorant ,26.0506298779225,-80.1831109076679
Creamy Mango Porcupine ,25.985440219369,-80.1184693121995
Trendy Caramel Dalmatian ,25.8032783098074,-80.1247582269162
Clean Beige Cormorant ,24.5544229576504,-81.8030536647076
Bright Syrup Lion ,24.5587657843682,-81.7522997375978
Trendy Coal Ladybug ,24.6023060047666,-81.6698750444221

